objID,redshift,g_minus_r,stellar_mass_ratio,r_mag,label
1237651753988653091,0.05000024,0.7711449,150729767572.38046,21.955632685399515,0
1237662528458326158,0.05000052,0.5155325,26798954573.10017,20.781446750091614,0
1237661464919080987,0.05000248,0.6838417,106656100712.01009,21.819528392928213,0
1237671262274715864,0.05000358,0.7570772,180489234645.9793,22.18984403735661,0
1237669516362317899,0.05000391,-0.1465435,16792906.369973782,14.589710215123802,0
1237661382772195474,0.05000554,0.8356533,194315457954.00952,22.054489200890426,0
1237657630063919255,0.05000767,0.2107353,9933595818.241404,20.539824652967248,0
1237652630713925732,0.0500106,0.23102,5388851071.502533,19.82016810355381,0
1237664338242371624,0.05001192,0.7421951,7752277845.048743,18.813103262317394,0
1237662225698980064,0.05001518,0.5178089,16977647793.043358,20.279602891139266,0
1237654605865812048,0.05001526,0.7628641,86002351774.53381,21.369121024229205,0
1237665532258091192,0.05001546,0.5118675,21994215463.39127,20.576974569367202,0
1237658302743904387,0.05001598,0.7563219,85127492550.66977,21.3759617925992,0
1237667112265056450,0.05001602,-0.3345814,10741688.324227609,14.620270856845064,0
1237665531175502074,0.05002118,0.4794331,6561607497.7953615,19.352680343754592,0
1237663782593036412,0.05002153,0.5207291,96268834117.63188,22.155614723848863,0
1237658302744101094,0.05002158,0.5381594,74007469542.61253,21.822286733254014,0
1237663547440824519,0.05002213,0.6812944,53393717609.82636,21.075275508628803,0
1237667323794686077,0.05002263,0.5141764,24468058443.4906,20.686369995916458,0
1237658424632279172,0.05002296,0.6857147,57798485030.80329,21.14921857319643,0
1237657590858645647,0.05002452,0.4495468,14567813905.445047,20.30060386346645,0
1237664880490119336,0.05002496,0.1991768,124796726.17922576,15.819265607375907,0
1237663543142974024,0.05002683,0.7855282,292419869641.1292,22.635706109423158,0
1237662684145254515,0.05002796,0.4019833,8320497376.229664,19.82293401971229,0
1237661951338020989,0.05002804,0.6382685,37442007667.81917,20.80794645844498,0
1237665126921535593,0.05002878,0.4169092,29851417062.15393,21.169038899344084,0
1237654029791723962,0.05002898,0.5053596,10227495197.560543,19.76347450760607,0
1237665102755856571,0.05002994,0.5322113,30214590675.70078,20.865952297582314,0
1237662226206228530,0.05003113,0.6749229,26726474490.177254,20.341378132788144,0
1237664289401077782,0.05003217,0.5148468,39292063339.39046,21.198794739661153,0
1237668311094460861,0.05003233,0.2877827,4761999318.223408,19.53022926747705,0
1237657589785886953,0.05003302,0.1696644,147327556.53687832,16.080405348080205,0
1237656496182985000,0.05003495,0.6885128,63923713487.90289,21.250908636720236,0
1237658298455097577,0.05003552,0.3594379,4168271086.805037,19.189131448987233,0
1237657590858580079,0.05003949,0.4866695,17174799037.303766,20.377538056430403,0
1237664880489857175,0.05004072,0.4911194,8806265584.048588,19.640084493013372,0
1237665566084301353,0.05004114,0.8228951,90114739712.26738,21.25519976980837,0
1237665441526251669,0.05004245,0.4177914,52138874699.68347,21.77211121966019,0
1237664854180626570,0.05004336,0.6468124,51401140856.12533,21.128548888835528,0
1237657771241570354,0.05004384,0.8111296,53784672963.35388,20.727123402625345,0
1237667730730320038,0.05004575,0.784193,35058202927.40826,20.33632482382022,0
1237663531326308453,0.05004637,0.8784599,43798884949.22154,20.319481359724616,0
1237664870284984504,0.05004655,-0.02543831,50152417.98488417,15.445494256132271,0
1237662635830018293,0.05004672,0.5932837,38720529560.28074,20.967772673484422,0
1237657611800215768,0.0500469,0.4618301,23985361956.103577,20.808296642406905,0
1237664835921511009,0.05005054,0.6325607,9539413150.191452,19.339006426267872,0
1237659120415604959,0.05005058,-10.50008,4.685938308967746e-07,9.098460816877683,0
1237658200737775832,0.05005075,0.6291018,47951297746.64163,21.10168922686413,0
1237657857682505766,0.05005111,0.5179319,34848101419.83019,21.060019569305517,0
1237652936183775521,0.05005213,0.5385571,40250506827.38531,21.159935536497354,0
1237658607145910394,0.05000016,0.8093815,26755825313.32196,19.973817115788385,1
1237653665250869700,0.05000129,0.804143,51351534785.29714,20.696021393103663,1
1237665567695896700,0.05000142,0.5664864,9907903239.992344,19.56136543959955,1
1237662238019616973,0.05000282,0.3307877,3378140058.7032948,19.039508861720407,1
1237664819824427099,0.05000284,0.4952469,6633355294.644458,19.321118525570753,1
1237654669203406961,0.05000296,0.5487709,15245621362.979786,20.07785863055566,1
1237661351631716447,0.05000314,0.5544243,25405448991.03945,20.616808543774344,1
1237651737389564508,0.05000385,0.4722271,8316840404.597387,19.62981309750262,1
1237667430084248082,0.05000519,0.4027195,4855103806.121568,19.236038071043286,1
1237657220951113856,0.05000672,0.7857628,14261284072.433077,19.35544209784457,1
1237664852573421629,0.05000683,0.8723106,81783428059.66016,21.014351456056776,1
1237657770172743825,0.0500071,0.311348,3400127087.019935,19.099865985076214,1
1237667143393804874,0.05000831,0.1674614,2770000172.576548,19.271936600804658,1
1237651537645666466,0.05000861,0.6001701,12871008319.661938,19.753064928327944,1
1237660413184114957,0.05000872,0.8055849,52315665427.71664,20.71226279596906,1
1237661949200498976,0.05000953,0.6793375,41075807657.61601,20.795882185135973,1
1237658304892371193,0.05001156,0.6576462,8915313598.515121,19.196746857008463,1
1237651537645797385,0.05001218,0.8373671,127978746197.15962,21.596365355969063,1
1237656567583015102,0.05001289,0.2904663,767161944.6254609,17.54061380061441,1
1237658803109691610,0.05001311,0.8008537,37441834614.651405,20.362051529270595,1
1237661137958207708,0.05001329,0.8615589,50954586120.515785,20.530132912689474,1
1237662302974705853,0.05001351,0.2818604,2852895367.2335176,18.99021246242099,1
1237654952128872506,0.05001397,0.8392792,83785477327.9444,21.13119866447438,1
1237657632727892142,0.05001485,0.5137024,5510685470.293394,19.069185227493378,1
1237668271904719016,0.0500154,0.8232098,18744024193.942635,19.549504213892586,1
1237668336863478032,0.05001575,0.3214798,3135038040.363835,18.983948685754854,1
1237668675622600943,0.05001597,0.3127499,3241032645.7470074,19.04399191311283,1
1237657606966018163,0.05001625,0.4771996,9353167041.527296,19.74367682358465,1
1237651252586545358,0.05001654,0.7936153,32647485561.85131,20.233134385962725,1
1237653665787543904,0.05001798,0.7949238,20555939855.406204,19.727264824283544,1
1237661360758522040,0.05001802,0.1917286,3485605752.447214,19.45487997365854,1
1237666338651701625,0.05001896,0.4368229,664161630.5786268,16.98269765242283,1
1237674649389236409,0.0500195,0.4574528,6402177231.789917,19.38625492742554,1
1237651737387335862,0.05001999,0.4056759,8080975359.112837,19.781093300492184,1
1237667429035737229,0.05002018,0.6411114,27536235643.875973,20.466513409286172,1
1237652899694772400,0.05002021,0.1722469,2270117870.3254867,19.042733895396843,1
1237654880725696589,0.05002037,0.6868954,25329515381.680103,20.250256567268558,1
1237662199891886236,0.05002178,0.6412067,39777368919.58138,20.865580758401453,1
1237654381440139407,0.05002181,0.4796124,6926457719.26511,19.410940961821517,1
1237664667359314012,0.05002209,0.4669666,7878455439.534622,19.58544680698121,1
1237663204921245790,0.05002309,0.4653683,3049637434.529824,18.55934796222129,1
1237667781745311880,0.05002346,0.8526115,33108998940.106537,20.086578086086966,1
1237661088026853428,0.05002395,0.8463678,228373846264.434,22.20045222431932,1
1237652616740536436,0.0500243,0.6435595,37863393931.171394,20.805586920961108,1
1237668366926545242,0.05002439,0.8713875,118599368724.49603,21.420425724727068,1
1237654605312884791,0.05002489,0.3058662,10103640112.878878,20.29735661762116,1
1237665428638466120,0.05002595,0.8249359,11230634878.54318,18.988624064345842,1
1237661088027181511,0.05002613,0.6082535,18005918088.36836,20.095402951605053,1
1237655464304836721,0.05002662,0.5738335,10005358570.061468,19.55184326977718,1
1237658297911280110,0.05002666,0.5533066,7991851886.473287,19.36417521570941,1
1237655468063719595,0.05000345,0.8186245,39022652878.2655,20.358214285544655,2
1237651252558823433,0.05000355,0.7887535,145279411544.92615,21.867353706420822,2
1237662267533033707,0.05000716,0.8376007,41962836949.77502,20.385042184081442,2
1237654398081171475,0.05000719,0.8392315,35932905607.68959,20.21213845264496,2
1237667209988538402,0.05001461,0.8242426,62145875903.66061,20.84804545320277,2
1237668651463999728,0.05001659,0.8235779,46402262394.206924,20.532685498210856,2
1237653665250869474,0.05002055,0.9066162,47131676787.25046,20.32188729844504,2
1237654953739681838,0.050024,0.7513981,12090584485.526276,19.270408951053945,2
